FECHA;DESCRIPCION;VALOR;ETIQUETA
9/08;TRANSFERENCIA A NEQUI;48000.0;NO_HORMIGA
9/08;TRANSFERENCIA A NEQUI;3200.0;NO_HORMIGA
12/08;PAGO QR TATIANA ANDREA RESTR;1650000.0;NO_HORMIGA
13/08;TRANSFERENCIA A NEQUI;20000.0;NO_HORMIGA
14/08;CUOTA MANEJO TRJ DEB 08 25;10650.0;NO_HORMIGA
15/08;COMPRA EN  LAS HERMOS;12600.0;HORMIGA
16/08;COMPRA EN  PUNTO DE V;34900.0;NO_HORMIGA
16/08;COMPRA EN  HYM ARKAND;12900.0;HORMIGA
19/08;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
20/08;TRANSFERENCIA A NEQUI;50000.0;NO_HORMIGA
20/08;TRANSFERENCIA A NEQUI;9000.0;NO_HORMIGA
20/08;COMPRA EN  UNIVERSIDA;2800.0;HORMIGA
20/08;COMPRA EN  LAS HERMOS;5500.0;HORMIGA
20/08;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
21/08;COMPRA EN  TACO FACTO;22500.0;NO_HORMIGA
21/08;Recarga de Tarjeta Civica;3000.0;NO_HORMIGA
22/08;COMPRA EN  INVERSIONE;6800.0;HORMIGA
22/08;COMPRA EN  LAS HERMOS;5100.0;HORMIGA
22/08;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
24/08;COMPRA EN  INVERSIONE;15500.0;HORMIGA
24/08;COMPRA EN  TIENDA D1;21190.0;NO_HORMIGA
24/08;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
24/08;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
25/08;PAGO QR  PIECES HMW M;20000.0;NO_HORMIGA
25/08;PAGO QR Guarapo de mi Tierra;6000.0;HORMIGA
25/08;TRANSF QR NEQUI LINA ALVAREZ;12000.0;NO_HORMIGA
25/08;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
25/08;COMPRA EN  UNIVERSIDA;4700.0;HORMIGA
25/08;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
27/08;TRANSFERENCIA A NEQUI;70000.0;NO_HORMIGA
27/08;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
27/08;COMPRA EN  UNIVERSIDA;3500.0;HORMIGA
28/08;PAGO QR Guarapo de mi Tierra;8000.0;HORMIGA
28/08;PAGO QR Guarapo de mi Tierra;6000.0;HORMIGA
28/08;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
28/08;COMPRA EN  UNIVERSIDA;2000.0;HORMIGA
28/08;Recarga de Tarjeta Civica;20000.0;NO_HORMIGA
29/08;PAGO QR Guarapo de mi Tierra;6000.0;HORMIGA
29/08;TRANSFERENCIA A NEQUI;17000.0;NO_HORMIGA
29/08;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
29/08;COMPRA EN  TOSTAO CAF;4800.0;HORMIGA
29/08;COMPRA EN  DOLLARCITY;6000.0;HORMIGA
29/08;COMPRA EN  UNIVERSIDA;3200.0;HORMIGA
1/09;TRANSFERENCIA A NEQUI;12000.0;NO_HORMIGA
1/09;COMPRA EN  RECANTO EA;8300.0;HORMIGA
1/09;COMPRA EN  PV DOGGER;10900.0;HORMIGA
1/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
2/09;PAGO QR BIOSALUD;8900.0;NO_HORMIGA
2/09;COMPRA EN  LAS HERMOS;4100.0;HORMIGA
2/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
2/09;Recarga de Tarjeta Civica;9000.0;NO_HORMIGA
3/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
3/09;Recarga de Tarjeta Civica;5000.0;NO_HORMIGA
4/09;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
4/09;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
5/09;COMPRA EN  RECANTO EA;7300.0;HORMIGA
5/09;COMPRA EN  BIGOS EAFI;17000.0;NO_HORMIGA
8/09;COMPRA EN  CHIPSTATIO;17700.0;NO_HORMIGA
8/09;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
9/09;TRANSFERENCIA A NEQUI;12000.0;NO_HORMIGA
9/09;COMPRA EN  INVERSIONE;12400.0;HORMIGA
9/09;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
